Tweets;Label
rt @mrtampi: agus makin santai.\nahok makin santun.\nanies makin esmosi.\n\nimho.\n#debat2pilkadadki;negatif
pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja tahun baru imlek, pkb aj... https:\/\/t.co\/ggych4sgct #debat2pilkadadki #imlek;negatif
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! wni ang... ;negatif
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026;negatif
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026;negatif
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026;negatif
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja  #debat2pil\u2026;negatif
as usual, ga pernah menjawab dgn solusi.;negatif
yah namanya jh odong2 si @sylviana_murni https:\/\/t.co\/8g7u4iuyo7;negatif
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026;negatif
rt @komunitaskata: #debat2pilkadadki bohongi bohongi terus org pakai opini kinerja baik, pdhl kinerjanya absolutely buruk! https:\/\/t.co\/m8g\u2026;negatif
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! pria as... https:\/\/t.co\/315l4axm8h #debat2pilkadadki https:\/\/t.co\/ybh5dtxnw2;negatif
rt @teddygusnaidi: ini yg gue bilang, yg hebat di tim @agusyudhoyono itu cuma tukang fotonya. coba zoom. orangnya dikit, kebyakan bers\u2026 ;negatif
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! dua gan... https:\/\/t.co\/dojksgdiwv #debat2pilkadadki https:\/\/t.co\/ebhmnmgaq3;negatif
pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja tahun baru imlek, pkb aj... https:\/\/t.co\/1cvtw2ahuv #debat2pilkadadki #imlek;negatif
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026;negatif
rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026;negatif
rt @teddygusnaidi: para pemuja-pemuji @agusyudhoyono kalau msh juga memuji ini keterlaluan... mbok ya kalau tugas boleh tapi realistis\u2026 ;negatif
rt @fariji_lacak: maklum...namanya jg paslon hapalan. https:\/\/t.co\/wkosscn3ds;negatif
rt @aef8386: kata @aniesbaswedan ipm di ibu kota manapun di seluruh dunia sll plg tinggi. benarkah? di amerika ternyata tidak be\u2026 ;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/hfzknf0wp0 #debat2pilkadadki https:\/\/t.co\/oupxyfrkuj;negatif
rt @stellakarunia: jangan pilih cagub yg dekat dgn sarang koruptor \ud83d\ude01#debat2pilkadadki https:\/\/t.co\/ttxy2oxi6p;negatif
rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri, dipuja2, knp gak dijelaskan? ngeles aja emg gak bisa\u2026 ;negatif
rt @takviri: #aniesberbohong\n#aniesberbohong\n#aniesberbohong\n\n#sandiberbohong\n#sandiberbohong\n#sandiberbohong https:\/\/t.co\/f2z3p6zgkr;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/xheqylmxin #debat2pilkadadki https:\/\/t.co\/zxux6pyljy;negatif
rt @desvronitaaa: gitu yg mau jadi pemimpin? udah salah harusnya intropeksi diri, bukan ngacuin jempol kebawah gitu emak sylvii \ud83d\ude02#debat2pil\u2026;negatif
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin;negatif
rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart;negatif
rt @teddygusnaidi: yang dikiri dia pikir dia ariel, yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau.. hahaha!!\u2026 ;negatif
rt @elyakin4: saya kaget lihat jempol bu silvy kebawah saat dengar penjelasan paslon 2. emang hrs gitu ya bu silvy? kayak preman.\u2026 ;negatif
rt @erixputra: #debat2pilkadadki knp sylviana mengacungkan jempol kebawah? bicara panjang lebar tanpa ada pertanyaan?\n\nkarena cewek tidak p\u2026;negatif
rt @arifahelfishy: nurunin jempol kebawah ya tadi wkwkww attitude nya mana ya? #debat2pilkadadki;negatif
rt @ponakannyaom: paslon 3 masih berbicara seperti anime naruto dan bleach\n\nbanyak filler\n\n#debat2pilkadadki;negatif
rt @ariearie_14: debat kok saling menjatuhkan ki pie? dua dua nya nyerang. eh malah bertengkar sendiri. (yg di serang melerai) *ngakak \ud83d\ude04\n#d\u2026;negatif
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! janji calon gubernur soal pembang... https:\/\/t.co\/dduvvxek1c #debat2pilkadadki;negatif
rt @imadya: anies semakin terlihat aslinya. masyarakat sudah cerdas tidak mudah dibohongi dengan opini2nya yang mengelabui data #debat2pilk\u2026;negatif
@gunromli mgk sebaiknya @aniesbaswedan siap2 beli tiket pswt pulang ke kampung nenek moyangnya di a**b sana..\ud83d\ude02\ud83d\ude05\u270c\ufe0f\ufe0f #debat2pilkadadki;negatif
rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026;negatif
rt @mrtampi: agus makin santai.\nahok makin santun.\nanies makin esmosi.\n\nimho.\n#debat2pilkadadki;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/nxowqxyhfy #debat2pilkadadki https:\/\/t.co\/7oaurnmatd;negatif
rt @rianernesto: di #debat2pilkadadki ada pak antasari azhar. suporter paslon teriak bongkar bongkar. ada seorang ibu dag dig dug;negatif
pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja perwakilan ormas islam j... https:\/\/t.co\/eviwhceffh #debat2pilkadadki #imlek;negatif
jangan pernah merobohkan pagar tanpa mengetahui me https:\/\/t.co\/2zb8o60uwf #debat2pilkadadki;negatif
rt @andra_diansyah: waktu agus bilang gak gusur tapi cuma geser, gue inget tatan lhoo #debat2pilkadajkt #debat2pilkadadki;negatif
rt @annisapohon_: kata siapa mas agus enggak punya solusi utk masalah dki jkt? mas agus itu punya solusi bambang yudhoyono, sby... \ud83d\ude42#ahydki\u2026;negatif
rt @teddygusnaidi: 5. tidak bisa dalam waktu 2 tahun hrs membereskan semuanya, karena masih ada yg dalam progres. ini bukan sulap simsalabi\u2026;negatif
rt @teddygusnaidi: 15. ketidakberhasilan anies baswedan dalam memimpin kementerian, banyak masalah dan belum lagi soal salah hitung anggara\u2026;negatif
rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026;negatif
rt @pandji: nah gue pikir sentimen petahana oke di #debat2pilkadadki semalam. tapi mnrt politicawave malah sebaliknya. geng\u2026 ;negatif
rt @the_various: mengacungkan jari kebawah termasuk bagian dari rasis, dan itu dilakukan paslon 1, menurut sy itu attitude yg kurang baik,,\u2026;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/i1lleilkxf #debat2pilkadadki https:\/\/t.co\/wefqmiu2vf;negatif
pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja meriah! warga dan turis saksika... https:\/\/t.co\/cxectjknz0 #debat2pilkadadki;negatif
rt @jokoanwar: visi misi anies adalah penilaian buruk orang lain. #debat2pilkadadki https:\/\/t.co\/ztbqwdudvg;negatif
rt @stellakarunia: jangan pilih cagub yg dekat dgn sarang koruptor \ud83d\ude01#debat2pilkadadki https:\/\/t.co\/ttxy2oxi6p;negatif
rt @majansukirnos: ngerih!!! @bangsa2000 @idm1303 \n#debat2pilkadadki https:\/\/t.co\/mppsglov9v;negatif
rt @teddygusnaidi: 15. ketidakberhasilan anies baswedan dalam memimpin kementerian, banyak masalah dan belum lagi soal salah hitung anggara\u2026;negatif
rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026;negatif
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026;negatif
rt @pbenyw: mpok @sylviana_murni salah sebut dg uu no 8 terkait pengelolaan sampah. padahal yg benar uu 18\/2008.\u2026 ;negatif
rt @jokoanwar: visi misi anies adalah penilaian buruk orang lain. #debat2pilkadadki https:\/\/t.co\/ztbqwdudvg;negatif
rt @teddygusnaidi: yang dikiri dia pikir dia ariel, yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau.. hahaha!!\u2026 ;negatif
rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026;negatif
rt @teddygusnaidi: pengen tau apa tanggapan @annisapohan dan @sbyudhoyono ... kalau @agusyudhoyono gak perlu ditanya, ntar ngak nyambu\u2026 ;negatif
rt @teddygusnaidi: yang dikiri dia pikir dia ariel, yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau.. hahaha!!\u2026 ;negatif
rt @nci4ri: pasca #debat2pilkadadki kena batunya, @agusyudhoyono dibentak kapolres jakarta selatan, karena bikin macet jalan.\nhttps:\/\/t.co\/\u2026;negatif
rt @alfred_1217: @gunromli mgk sebaiknya @aniesbaswedan siap2 beli tiket pswt pulang ke kampung nenek moyangnya di a**b sana.. #debat2\u2026;negatif
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! teh hij... https:\/\/t.co\/fhfhaia7eh #debat2pilkadadki https:\/\/t.co\/mccrkxdxrt;negatif
rt @teddygusnaidi: para pemuja-pemuji @agusyudhoyono kalau msh juga memuji ini keterlaluan... mbok ya kalau tugas boleh tapi realistis\u2026 ;negatif
pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja djarot: pak habibie mint... https:\/\/t.co\/kvdup0zil5 #debat2pilkadadki #imlek;negatif
dan belum menemukan kualitas paslon 1 &amp;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/caootefbtp #debat2pilkadadki https:\/\/t.co\/9gzuwwrmdh;negatif
#debat2pilkadadki @agusyudhoyono - agus mungkin kebykan nonton harry potter...dikit2 terbang mengapung. atau emang jago mimpi?nipu dosa lho!;negatif
rt @erixputra: jadi pertanyaannya apa? dan ahok pun joged, #debat2pilkadadki https:\/\/t.co\/ricyfbyogv;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/sygz43kogj #debat2pilkadadki https:\/\/t.co\/hcfvde9xys;negatif
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! lazio d... https:\/\/t.co\/ev6yotgpyh #debat2pilkadadki https:\/\/t.co\/dxkif3mjgx;negatif
#debat2pilkadadki\nseorang mantan mentri pendidikan yg seharusnya santun dan bijak dalam berbicara malah selalu menyerang dan menjatuhkan,;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/kuygh1fxem #debat2pilkadadki https:\/\/t.co\/kza1ov3via;negatif
kosep menggeser tanpa menggusur. hellowww, masuk akal gk ya?#debat2pilkadadki;negatif
rt @mustafa_sy: pemilih awam pasti susah paham dg istilah2 asing yg berhamburan dr paslon 1 n 3. buknnya rakyat jd bahagia malah pusing #de\u2026;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/jlqgorul4i #debat2pilkadadki https:\/\/t.co\/9pbx9uotnx;negatif
rt @sehan5: pk anis nyinggung kjp. rakyat jkt perlu tau nih. justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil. #debat2pil\u2026;negatif
rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026;negatif
rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri, dipuja2, knp gak dijelaskan? ngeles aja emg gak bisa\u2026 ;negatif
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! tekuk t... https:\/\/t.co\/sr47kc8m1t #debat2pilkadadki https:\/\/t.co\/vgibwpasjo;negatif
pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/45rk5yrqpu #debat2pilkadadki https:\/\/t.co\/df8xmejfi1;negatif
